ticket_id,subject,description,ticket_text,category,priority
13,[Issue] Data export CSV corrupted with incomplete rows,"Exporting historical ticket reports with >10,000 rows generates truncated CSV file stopping midway at row 3,420 with trailing commas. Please advise on immediate troubleshooting steps or dispatch a technician.","[Issue] Data export CSV corrupted with incomplete rows. Exporting historical ticket reports with >10,000 rows generates truncated CSV file stopping midway at row 3,420 with trailing commas. Please advise on immediate troubleshooting steps or dispatch a technician.",Technical Issue,Medium
14,Help needed: Guest contractor account extension required,"Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. We noticed this error intermittently over the past week, but now it occurs constantly.","Help needed: Guest contractor account extension required. Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. We noticed this error intermittently over the past week, but now it occurs constantly.",Account,Medium
15,Urgent: Excel crashes when opening large pivot table,"Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll. Logs and system diagnostic details have been captured and can be provided upon request.","Urgent: Excel crashes when opening large pivot table. Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll. Logs and system diagnostic details have been captured and can be provided upon request.",Software,High
16,Urgent: Stripe checkout payment gateway throwing error 402,"When attempting to pay invoice online, checkout modal throws error 'Payment Required: card_declined'. Bank confirms no block on our end. Please advise on immediate troubleshooting steps or dispatch a technician.","Urgent: Stripe checkout payment gateway throwing error 402. When attempting to pay invoice online, checkout modal throws error 'Payment Required: card_declined'. Bank confirms no block on our end. Please advise on immediate troubleshooting steps or dispatch a technician.",Payment,High
17,Urgent: Laser printer paper jam in tray 2,"The HP LaserJet printer on the 3rd floor has a continuous paper jam error. Opened tray 2 and cleared paper, but roller error indicator remains red.","Urgent: Laser printer paper jam in tray 2. The HP LaserJet printer on the 3rd floor has a continuous paper jam error. Opened tray 2 and cleared paper, but roller error indicator remains red.",Hardware,Medium
18,Hard drive clicking noise and I/O error - Request assistance,Secondary internal 1TB Seagate drive is producing rhythmic clicking noises. Windows Explorer freezes and throws 'The request failed due to a fatal device hardware error'. This is severely impacting our daily operations and client deliverable deadlines.,Hard drive clicking noise and I/O error - Request assistance. Secondary internal 1TB Seagate drive is producing rhythmic clicking noises. Windows Explorer freezes and throws 'The request failed due to a fatal device hardware error'. This is severely impacting our daily operations and client deliverable deadlines.,Hardware,High
19,Help needed: Remove access for departing employee immediately,"Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. This issue started occurring after the system maintenance yesterday.","Help needed: Remove access for departing employee immediately. Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. This issue started occurring after the system maintenance yesterday.",Account,Critical
20,[Issue] VoIP desk phone unregistered from PBX,Cisco IP phone on desk 14 shows 'Registration Failed'. No dial tone and cannot receive incoming transfers from receptionist. Urgent assistance required as this is blocking our production workflow.,[Issue] VoIP desk phone unregistered from PBX. Cisco IP phone on desk 14 shows 'Registration Failed'. No dial tone and cannot receive incoming transfers from receptionist. Urgent assistance required as this is blocking our production workflow.,Network,High
21,Urgent: Conference room TV display color distortion,Main wall display in Conference Room B shows severe purple and green tint over HDMI input. Resetting display settings did not resolve. Urgent assistance required as this is blocking our production workflow.,Urgent: Conference room TV display color distortion. Main wall display in Conference Room B shows severe purple and green tint over HDMI input. Resetting display settings did not resolve. Urgent assistance required as this is blocking our production workflow.,Hardware,High
22,Urgent: Zoom meeting video freezes after 5 minutes,"During video calls Zoom client freezes video feed while audio continues. Graphic driver is up to date, but hardware acceleration setting crashes app. This is severely impacting our daily operations and client deliverable deadlines.","Urgent: Zoom meeting video freezes after 5 minutes. During video calls Zoom client freezes video feed while audio continues. Graphic driver is up to date, but hardware acceleration setting crashes app. This is severely impacting our daily operations and client deliverable deadlines.",Software,Medium
23,Help needed: USB-C docking station ethernet port dead,"My Dell docking station powers the laptop and displays to dual monitors, but the RJ45 ethernet port has no link lights and network is disconnected. Several other team members in our department are facing the exact same problem.","Help needed: USB-C docking station ethernet port dead. My Dell docking station powers the laptop and displays to dual monitors, but the RJ45 ethernet port has no link lights and network is disconnected. Several other team members in our department are facing the exact same problem.",Hardware,Medium
24,Help needed: Password reset link expired before use,"Requested a self-service password reset email, but clicking the token link gives error 'Reset token has expired'. Please send a fresh reset link. Several other team members in our department are facing the exact same problem.","Help needed: Password reset link expired before use. Requested a self-service password reset email, but clicking the token link gives error 'Reset token has expired'. Please send a fresh reset link. Several other team members in our department are facing the exact same problem.",Account,Medium
25,Help needed: Remove access for departing employee immediately,"Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. Urgent assistance required as this is blocking our production workflow.","Help needed: Remove access for departing employee immediately. Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. Urgent assistance required as this is blocking our production workflow.",Account,Critical
26,Power supply unit burning smell,Desktop PC suddenly lost power and emitted a faint electrical burning odor. System refuses to turn on when power button is pressed. No motherboard LEDs lit. Please advise on immediate troubleshooting steps or dispatch a technician.,Power supply unit burning smell. Desktop PC suddenly lost power and emitted a faint electrical burning odor. System refuses to turn on when power button is pressed. No motherboard LEDs lit. Please advise on immediate troubleshooting steps or dispatch a technician.,Hardware,Critical
27,[Issue] Payment receipt not emailed after successful transaction,Credit card was successfully charged yesterday but confirmation receipt and license key were not delivered to billing@company.com. Please advise on immediate troubleshooting steps or dispatch a technician.,[Issue] Payment receipt not emailed after successful transaction. Credit card was successfully charged yesterday but confirmation receipt and license key were not delivered to billing@company.com. Please advise on immediate troubleshooting steps or dispatch a technician.,Payment,Low
28,[Issue] Adobe Acrobat Reader crashing on PDF sign,"Whenever I attempt to place a digital certificate signature on contract documents, Adobe Acrobat DC closes immediately without an error message. We noticed this error intermittently over the past week, but now it occurs constantly.","[Issue] Adobe Acrobat Reader crashing on PDF sign. Whenever I attempt to place a digital certificate signature on contract documents, Adobe Acrobat DC closes immediately without an error message. We noticed this error intermittently over the past week, but now it occurs constantly.",Software,High
29,Help needed: Router gateway unreachable on subnet 192.168.10.0,Workstations on VLAN 10 cannot ping default gateway 192.168.10.1. Local switch interface shows orange amber blinking LED. This is severely impacting our daily operations and client deliverable deadlines.,Help needed: Router gateway unreachable on subnet 192.168.10.0. Workstations on VLAN 10 cannot ping default gateway 192.168.10.1. Local switch interface shows orange amber blinking LED. This is severely impacting our daily operations and client deliverable deadlines.,Network,Critical
30,[Issue] RAM memory failure causing BSOD,"Computer crashed three times today with MEMORY_MANAGEMENT blue screen. Windows Memory Diagnostic tool reported hardware memory problems detected. We noticed this error intermittently over the past week, but now it occurs constantly.","[Issue] RAM memory failure causing BSOD. Computer crashed three times today with MEMORY_MANAGEMENT blue screen. Windows Memory Diagnostic tool reported hardware memory problems detected. We noticed this error intermittently over the past week, but now it occurs constantly.",Hardware,High
31,Help needed: Unexpected price increase on monthly statement,Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. Tested across multiple workstations and the behavior is completely reproducible.,Help needed: Unexpected price increase on monthly statement. Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. Tested across multiple workstations and the behavior is completely reproducible.,Payment,Medium
32,Urgent: New employee onboarding credentials not received,New software engineer starts today but has not received their initial login credentials or temporary password for company email. This issue started occurring after the system maintenance yesterday.,Urgent: New employee onboarding credentials not received. New software engineer starts today but has not received their initial login credentials or temporary password for company email. This issue started occurring after the system maintenance yesterday.,Account,High
33,Unauthorized login attempt detected from foreign IP - Request assistance,Received security alert email indicating a successful login attempt from an unknown device in Romania. Need immediate password reset and session purge. Several other team members in our department are facing the exact same problem.,Unauthorized login attempt detected from foreign IP - Request assistance. Received security alert email indicating a successful login attempt from an unknown device in Romania. Need immediate password reset and session purge. Several other team members in our department are facing the exact same problem.,Account,Critical
34,Help needed: Intermittent WebSocket connection drops in dashboard,"Real-time updates in admin portal disconnect with code 1006 every few minutes, requiring manual page refresh to see new tickets. Tested across multiple workstations and the behavior is completely reproducible.","Help needed: Intermittent WebSocket connection drops in dashboard. Real-time updates in admin portal disconnect with code 1006 every few minutes, requiring manual page refresh to see new tickets. Tested across multiple workstations and the behavior is completely reproducible.",Technical Issue,Medium
35,Account deactivated following departmental transfer,My Active Directory account was accidentally marked as disabled during my transfer from Support to Engineering. Cannot access workstation. Please advise on immediate troubleshooting steps or dispatch a technician.,Account deactivated following departmental transfer. My Active Directory account was accidentally marked as disabled during my transfer from Support to Engineering. Cannot access workstation. Please advise on immediate troubleshooting steps or dispatch a technician.,Account,Critical
36,[Issue] Single Sign-On SSO authentication loop on Okta,Clicking on Jira or Confluence through Okta dashboard redirects in an infinite loop back to the login portal without signing in. Tested across multiple workstations and the behavior is completely reproducible.,[Issue] Single Sign-On SSO authentication loop on Okta. Clicking on Jira or Confluence through Okta dashboard redirects in an infinite loop back to the login portal without signing in. Tested across multiple workstations and the behavior is completely reproducible.,Account,High
37,Requesting W-9 vendor tax form for accounts payable - Request assistance,Our accounting department requires a signed W-9 form and bank ACH direct deposit details before processing the outstanding purchase order. Tested across multiple workstations and the behavior is completely reproducible.,Requesting W-9 vendor tax form for accounts payable - Request assistance. Our accounting department requires a signed W-9 form and bank ACH direct deposit details before processing the outstanding purchase order. Tested across multiple workstations and the behavior is completely reproducible.,Payment,Low
38,Urgent: Unexpected price increase on monthly statement,Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. This issue started occurring after the system maintenance yesterday.,Urgent: Unexpected price increase on monthly statement. Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. This issue started occurring after the system maintenance yesterday.,Payment,Medium
39,Router gateway unreachable on subnet 192.168.10.0,"Workstations on VLAN 10 cannot ping default gateway 192.168.10.1. Local switch interface shows orange amber blinking LED. We have already attempted rebooting the system, but the problem persists.","Router gateway unreachable on subnet 192.168.10.0. Workstations on VLAN 10 cannot ping default gateway 192.168.10.1. Local switch interface shows orange amber blinking LED. We have already attempted rebooting the system, but the problem persists.",Network,Critical
40,Help needed: Guest contractor account extension required,Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. This is severely impacting our daily operations and client deliverable deadlines.,Help needed: Guest contractor account extension required. Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. This is severely impacting our daily operations and client deliverable deadlines.,Account,Medium
41,Urgent: Subscription renewal failed due to expired corporate card,Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method. This issue started occurring after the system maintenance yesterday.,Urgent: Subscription renewal failed due to expired corporate card. Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method. This issue started occurring after the system maintenance yesterday.,Payment,High
42,Urgent: Windows 11 update stuck at 78% loop,"Cumulative update KB5034441 has been stuck at 78% for 4 hours. Rebooting causes the system to attempt rollback and install again in an endless loop. We have already attempted rebooting the system, but the problem persists.","Urgent: Windows 11 update stuck at 78% loop. Cumulative update KB5034441 has been stuck at 78% for 4 hours. Rebooting causes the system to attempt rollback and install again in an endless loop. We have already attempted rebooting the system, but the problem persists.",Software,High
43,Urgent: Proxy server authentication pop-up loop,"Browser continuously prompts for proxy credentials every time a new website is navigated, rejecting valid domain credentials.","Urgent: Proxy server authentication pop-up loop. Browser continuously prompts for proxy credentials every time a new website is navigated, rejecting valid domain credentials.",Network,Medium
44,Urgent: Windows 11 update stuck at 78% loop,Cumulative update KB5034441 has been stuck at 78% for 4 hours. Rebooting causes the system to attempt rollback and install again in an endless loop.,Urgent: Windows 11 update stuck at 78% loop. Cumulative update KB5034441 has been stuck at 78% for 4 hours. Rebooting causes the system to attempt rollback and install again in an endless loop.,Software,High
45,Missing VCRUNTIME140.dll error on launch,Unable to run corporate ERP application. System error pop-up states: 'The code execution cannot proceed because VCRUNTIME140.dll was not found'. Please advise on immediate troubleshooting steps or dispatch a technician.,Missing VCRUNTIME140.dll error on launch. Unable to run corporate ERP application. System error pop-up states: 'The code execution cannot proceed because VCRUNTIME140.dll was not found'. Please advise on immediate troubleshooting steps or dispatch a technician.,Software,Medium
46,Power supply unit burning smell,Desktop PC suddenly lost power and emitted a faint electrical burning odor. System refuses to turn on when power button is pressed. No motherboard LEDs lit.,Power supply unit burning smell. Desktop PC suddenly lost power and emitted a faint electrical burning odor. System refuses to turn on when power button is pressed. No motherboard LEDs lit.,Hardware,Critical
47,File upload API failing for files larger than 10MB,Attempting to attach 15MB diagnostic logs throws '413 Request Entity Too Large' from reverse proxy Nginx configuration. Several other team members in our department are facing the exact same problem.,File upload API failing for files larger than 10MB. Attempting to attach 15MB diagnostic logs throws '413 Request Entity Too Large' from reverse proxy Nginx configuration. Several other team members in our department are facing the exact same problem.,Technical Issue,Medium
48,Help needed: Cannot update security challenge questions,"Account settings page throws error 500 when saving new security verification questions for password self-recovery. We have already attempted rebooting the system, but the problem persists.","Help needed: Cannot update security challenge questions. Account settings page throws error 500 when saving new security verification questions for password self-recovery. We have already attempted rebooting the system, but the problem persists.",Account,Low
49,Urgent: Cannot update security challenge questions,Account settings page throws error 500 when saving new security verification questions for password self-recovery. Several other team members in our department are facing the exact same problem.,Urgent: Cannot update security challenge questions. Account settings page throws error 500 when saving new security verification questions for password self-recovery. Several other team members in our department are facing the exact same problem.,Account,Low
50,[Issue] Frequent dropped calls on Microsoft Teams,Teams voice and video calls consistently stutter and disconnect with warning 'Your network is causing poor call quality'. Tested across multiple workstations and the behavior is completely reproducible.,[Issue] Frequent dropped calls on Microsoft Teams. Teams voice and video calls consistently stutter and disconnect with warning 'Your network is causing poor call quality'. Tested across multiple workstations and the behavior is completely reproducible.,Network,Medium
51,Session timeout too aggressive kicking out every 5 minutes - Request assistance,"Web portal logs me out every 5 minutes with 'Session Expired', forcing constant MFA re-authentication while working. Please advise on immediate troubleshooting steps or dispatch a technician.","Session timeout too aggressive kicking out every 5 minutes - Request assistance. Web portal logs me out every 5 minutes with 'Session Expired', forcing constant MFA re-authentication while working. Please advise on immediate troubleshooting steps or dispatch a technician.",Account,Low
52,Cron job for SLA breach calculation not triggering,Scheduled cron task responsible for marking overdue tickets as 'SLA BREACHED' failed to execute for the last 6 hours. Please advise on immediate troubleshooting steps or dispatch a technician.,Cron job for SLA breach calculation not triggering. Scheduled cron task responsible for marking overdue tickets as 'SLA BREACHED' failed to execute for the last 6 hours. Please advise on immediate troubleshooting steps or dispatch a technician.,Technical Issue,High
53,High latency spike to Europe branch office - Request assistance,"Site-to-site IPsec VPN tunnel between US and EU offices experiencing 450ms latency, causing database replication delays.","High latency spike to Europe branch office - Request assistance. Site-to-site IPsec VPN tunnel between US and EU offices experiencing 450ms latency, causing database replication delays.",Network,High
54,Help needed: Account deactivated following departmental transfer,My Active Directory account was accidentally marked as disabled during my transfer from Support to Engineering. Cannot access workstation. This is severely impacting our daily operations and client deliverable deadlines.,Help needed: Account deactivated following departmental transfer. My Active Directory account was accidentally marked as disabled during my transfer from Support to Engineering. Cannot access workstation. This is severely impacting our daily operations and client deliverable deadlines.,Account,Critical
55,Missing VCRUNTIME140.dll error on launch - Request assistance,Unable to run corporate ERP application. System error pop-up states: 'The code execution cannot proceed because VCRUNTIME140.dll was not found'. Urgent assistance required as this is blocking our production workflow.,Missing VCRUNTIME140.dll error on launch - Request assistance. Unable to run corporate ERP application. System error pop-up states: 'The code execution cannot proceed because VCRUNTIME140.dll was not found'. Urgent assistance required as this is blocking our production workflow.,Software,High
56,Excel crashes when opening large pivot table,"Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll. This issue started occurring after the system maintenance yesterday.","Excel crashes when opening large pivot table. Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll. This issue started occurring after the system maintenance yesterday.",Software,High
57,[Issue] Blue screen of death SYSTEM_SERVICE_EXCEPTION,"Receiving random BSODs twice daily pointing to win32kfull.sys during normal web browsing and word processing. We have already attempted rebooting the system, but the problem persists.","[Issue] Blue screen of death SYSTEM_SERVICE_EXCEPTION. Receiving random BSODs twice daily pointing to win32kfull.sys during normal web browsing and word processing. We have already attempted rebooting the system, but the problem persists.",Software,Critical
58,Laptop display flickering violently,The built-in screen on my Dell Latitude keeps flickering whenever I adjust the hinge. It goes completely black for a few seconds. Need a replacement or cable check. Please advise on immediate troubleshooting steps or dispatch a technician.,Laptop display flickering violently. The built-in screen on my Dell Latitude keeps flickering whenever I adjust the hinge. It goes completely black for a few seconds. Need a replacement or cable check. Please advise on immediate troubleshooting steps or dispatch a technician.,Hardware,High
59,[Issue] New employee onboarding credentials not received,New software engineer starts today but has not received their initial login credentials or temporary password for company email. This is severely impacting our daily operations and client deliverable deadlines.,[Issue] New employee onboarding credentials not received. New software engineer starts today but has not received their initial login credentials or temporary password for company email. This is severely impacting our daily operations and client deliverable deadlines.,Account,High
60,Urgent: Need annual prepayment invoice for bulk discount,We would like to switch from monthly billing to annual prepayment to take advantage of the 20% discount. Please generate the invoice. Logs and system diagnostic details have been captured and can be provided upon request.,Urgent: Need annual prepayment invoice for bulk discount. We would like to switch from monthly billing to annual prepayment to take advantage of the 20% discount. Please generate the invoice. Logs and system diagnostic details have been captured and can be provided upon request.,Payment,Medium
61,Help needed: File upload API failing for files larger than 10MB,Attempting to attach 15MB diagnostic logs throws '413 Request Entity Too Large' from reverse proxy Nginx configuration.,Help needed: File upload API failing for files larger than 10MB. Attempting to attach 15MB diagnostic logs throws '413 Request Entity Too Large' from reverse proxy Nginx configuration.,Technical Issue,Medium
62,Urgent: Password reset link expired before use,"Requested a self-service password reset email, but clicking the token link gives error 'Reset token has expired'. Please send a fresh reset link. This issue started occurring after the system maintenance yesterday.","Urgent: Password reset link expired before use. Requested a self-service password reset email, but clicking the token link gives error 'Reset token has expired'. Please send a fresh reset link. This issue started occurring after the system maintenance yesterday.",Account,Medium
63,Urgent: RAM memory failure causing BSOD,Computer crashed three times today with MEMORY_MANAGEMENT blue screen. Windows Memory Diagnostic tool reported hardware memory problems detected. Please advise on immediate troubleshooting steps or dispatch a technician.,Urgent: RAM memory failure causing BSOD. Computer crashed three times today with MEMORY_MANAGEMENT blue screen. Windows Memory Diagnostic tool reported hardware memory problems detected. Please advise on immediate troubleshooting steps or dispatch a technician.,Hardware,High
64,Billing currency incorrect charged in EUR instead of USD,"Our master services agreement stipulates USD billing, but latest charge came through as 499 EUR with high foreign exchange fees. Several other team members in our department are facing the exact same problem.","Billing currency incorrect charged in EUR instead of USD. Our master services agreement stipulates USD billing, but latest charge came through as 499 EUR with high foreign exchange fees. Several other team members in our department are facing the exact same problem.",Payment,Medium
65,Urgent: External monitor not detected via HDMI,Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. Logs and system diagnostic details have been captured and can be provided upon request.,Urgent: External monitor not detected via HDMI. Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. Logs and system diagnostic details have been captured and can be provided upon request.,Hardware,Medium
66,Help needed: Missing VCRUNTIME140.dll error on launch,Unable to run corporate ERP application. System error pop-up states: 'The code execution cannot proceed because VCRUNTIME140.dll was not found'. Logs and system diagnostic details have been captured and can be provided upon request.,Help needed: Missing VCRUNTIME140.dll error on launch. Unable to run corporate ERP application. System error pop-up states: 'The code execution cannot proceed because VCRUNTIME140.dll was not found'. Logs and system diagnostic details have been captured and can be provided upon request.,Software,Medium
67,Router gateway unreachable on subnet 192.168.10.0 - Request assistance,Workstations on VLAN 10 cannot ping default gateway 192.168.10.1. Local switch interface shows orange amber blinking LED. Tested across multiple workstations and the behavior is completely reproducible.,Router gateway unreachable on subnet 192.168.10.0 - Request assistance. Workstations on VLAN 10 cannot ping default gateway 192.168.10.1. Local switch interface shows orange amber blinking LED. Tested across multiple workstations and the behavior is completely reproducible.,Network,Critical
68,Help needed: Headset microphone not picking up audio,"Jabra USB headset audio output works fine, but teammates cannot hear me in Zoom or Teams meetings. Tested mic on Windows Sound settings with 0% input level. Please advise on immediate troubleshooting steps or dispatch a technician.","Help needed: Headset microphone not picking up audio. Jabra USB headset audio output works fine, but teammates cannot hear me in Zoom or Teams meetings. Tested mic on Windows Sound settings with 0% input level. Please advise on immediate troubleshooting steps or dispatch a technician.",Hardware,Low
69,Urgent: Cannot update security challenge questions,Account settings page throws error 500 when saving new security verification questions for password self-recovery. This is severely impacting our daily operations and client deliverable deadlines.,Urgent: Cannot update security challenge questions. Account settings page throws error 500 when saving new security verification questions for password self-recovery. This is severely impacting our daily operations and client deliverable deadlines.,Account,Low
70,Session timeout too aggressive kicking out every 5 minutes,"Web portal logs me out every 5 minutes with 'Session Expired', forcing constant MFA re-authentication while working. Please advise on immediate troubleshooting steps or dispatch a technician.","Session timeout too aggressive kicking out every 5 minutes. Web portal logs me out every 5 minutes with 'Session Expired', forcing constant MFA re-authentication while working. Please advise on immediate troubleshooting steps or dispatch a technician.",Account,Low
71,Urgent: Ethernet wall jack physically damaged,RJ-45 wall port at cubicle 42 has broken pins inside. Patch cable will not click securely into place and link light does not turn on. Urgent assistance required as this is blocking our production workflow.,Urgent: Ethernet wall jack physically damaged. RJ-45 wall port at cubicle 42 has broken pins inside. Patch cable will not click securely into place and link light does not turn on. Urgent assistance required as this is blocking our production workflow.,Network,High
72,Guest contractor account extension required - Request assistance,"Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. We have already attempted rebooting the system, but the problem persists.","Guest contractor account extension required - Request assistance. Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. We have already attempted rebooting the system, but the problem persists.",Account,Medium
73,[Issue] High latency spike to Europe branch office,"Site-to-site IPsec VPN tunnel between US and EU offices experiencing 450ms latency, causing database replication delays. This issue started occurring after the system maintenance yesterday.","[Issue] High latency spike to Europe branch office. Site-to-site IPsec VPN tunnel between US and EU offices experiencing 450ms latency, causing database replication delays. This issue started occurring after the system maintenance yesterday.",Network,High
74,Cannot access shared network drive Z: - Request assistance,File Explorer reports 'The network path was not found' when trying to open mapped network drive \\fileserver01\finance. Other users can access it. Several other team members in our department are facing the exact same problem.,Cannot access shared network drive Z: - Request assistance. File Explorer reports 'The network path was not found' when trying to open mapped network drive \\fileserver01\finance. Other users can access it. Several other team members in our department are facing the exact same problem.,Network,Medium
75,REST API returning HTTP 500 Internal Server Error - Request assistance,Calls to endpoint /api/v2/orders/batch are consistently failing with HTTP 500 Internal Server Error. Response payload contains uncaught NullPointerException. Please advise on immediate troubleshooting steps or dispatch a technician.,REST API returning HTTP 500 Internal Server Error - Request assistance. Calls to endpoint /api/v2/orders/batch are consistently failing with HTTP 500 Internal Server Error. Response payload contains uncaught NullPointerException. Please advise on immediate troubleshooting steps or dispatch a technician.,Technical Issue,Critical
